,,taxonID,scientificName,plotID,Easting,Northing,indvidualID,pointID,stem_distance,stem_azimuth,basalDiameter_cm,90degBasalDiameter_cm,diameterBreastHeight_cm,diameterBreastHeight_Height_cm,canopyDiameterMax_m,90degCanopyDiameter_m,canopyHeight_VD1,canopyHeight_VD2,stemRemarks,unknownID,stemStatus,canopyForm,living_percent,canopyInPlot_percent,healthStatus,materialSampleID,qf_DBH,qf_stemMap
20,20,ARVI4,Arctostaphylos viscida,SOAP1695,299178,4100961.9,82,center,2.7,205.2,11,8,0,0,2.2,3,2,0,hemi 10 live,1141,,NA,NA,NA,NA,NA,0,0
21,21,ARVI4,Arctostaphylos viscida,SOAP255,300147.4,4101377.8,1264,center,3.8,98.8,32,21,NA,130,2.4,2.2,2.4,0,4 stems,731,NA,Hemisphere,NA,100,long dead,,0,0
22,22,ARVI4,Arctostaphylos viscida,SOAP143,299849.6,4100424.8,1212,center,8.6,43.4,7,5,NA,130,0.7,0.6,0.9,0,3 stems,541,NA,Cone,95,100,,,0,0
23,23,ARVI4,Arctostaphylos viscida,SOAP1695,299177.4,4100959.2,84,center,5.5,198.4,21,22,0,0,4.6,4,2.6,0,sphere 60 live,1143,,NA,NA,NA,NA,NA,0,0
24,24,ARVI4,Arctostaphylos viscida,SOAP1611,297435.7,4100582.2,73,center,12.1,312.8,52,10,0,0,1.7,2,1.4,0,hemi 30 live,1139,,NA,NA,NA,NA,NA,0,0
25,25,ARVI4,Arctostaphylos viscida,SOAP283,297780,4101205.5,48,center,5.8,110.7,31,28,4.4,4.6,0,0,2.3,0,hemi 0 live,811,snag,NA,NA,NA,NA,NA,0,0
26,26,ARVI4,Arctostaphylos viscida,SOAP143,299836.6,4100409.4,1150,center,11.6,217.9,10,9,NA,130,0.6,0.5,1.3,0,4 stems,479,NA,Cone,100,100,,,0,0
27,27,ARVI4,Arctostaphylos viscida,SOAP1695,299176.4,4100957.7,104,center,7.2,202.2,5,7,0,0,0.8,1,1,0,cone 70 live,1163,,NA,NA,NA,NA,NA,0,0
28,28,ARVI4,Arctostaphylos viscida,SOAP139,297036.6,4100086.7,316,SW,4,42.3,0,0,3.4,10,0.7,0.8,1.1,0,,339,NA,Cone,0,100,,,0,0
29,29,ARVI4,Arctostaphylos viscida,SOAP139,297053.3,4100101.3,356,center,9.1,17.6,0,0,2,10,30,10,1.1,0,,379,NA,Cone,0,100,dead w branches,,0,0
30,30,ARVI4,Arctostaphylos viscida,SOAP1515,297516,4101247.7,9,SE,2.2,279.3,17,8,6.7,1,1.4,1.2,2.3,0,1 stem,1092,NA,Hemisphere,95,100,,,0,1
31,31,ARVI4,Arctostaphylos viscida,SOAP1343,299606,4100965.4,780,center,10.8,126.7,38,31,NA,130,1.9,1.8,0.9,0,,1071,NA,Sphere,0,100,,,0,0
32,32,ARVI4,Arctostaphylos viscida,SOAP1695,299175.4,4100962.4,81,center,4.2,242.4,94,58,0,0,1,0,4.2,3.3,hemi 45 live,1140,,NA,NA,NA,NA,NA,0,0
33,33,ARVI4,Arctostaphylos viscida,SOAP143,299839.6,4100420.3,1231,center,4.5,293.7,5,2,NA,130,0.3,0.3,0.8,0,2 stems,560,NA,Cylinder,100,100,,,0,0
34,34,ARVI4,Arctostaphylos viscida,SOAP143,299850.2,4100426.4,1211,center,10.2,39.8,0,0,1.4,10,0.3,0.3,0.9,0,,540,NA,Cone,0,100,dead,,0,0
35,35,ARVI4,Arctostaphylos viscida,SOAP1515,297513,4101264.2,13,center,8.3,34.6,38,35,NA,130,3.7,3.6,2,-0.1,"23 stems (5.4,6.1,4.0,5.5,5.1,6.0,4.4,4.4,2.0,8.4,3.7,5.6,3.0,14.7,5.7,3.6,7.0,2.9,4.9,3.7,3.2,2.8,2.2)",1096,NA,Sphere,40,100,,,0,0
36,36,ARVI4,Arctostaphylos viscida,SOAP143,299852.9,4100423.1,1207,center,10.3,63.7,10,9,NA,130,1.3,1.1,2.7,0,4 stems,536,NA,Cylinder,95,100,,,0,1
37,37,ARVI4,Arctostaphylos viscida,SOAP139,297036.6,4100084.9,317,SW,2.9,66.8,10,9,NA,130,0.7,0.5,1.5,0,3 stems,340,NA,Cylinder,0,100,,,0,0
38,38,ARVI4,Arctostaphylos viscida,SOAP63,299823.2,4101019.5,839,SE,5.4,354.3,61,23,NA,130,4.8,4.3,2.5,0,2 stems old dead,149,NA,,0,100,dead w no small branches,,0,1
39,39,ARVI4,Arctostaphylos viscida,SOAP1563,297704.6,4101216.9,35,center,6.8,155.8,36,52,0,0,3.1,2,1.9,0,f109 hemi 15dead,1118,,NA,NA,NA,NA,NA,0,0
40,40,ARVI4,Arctostaphylos viscida,SOAP1563,297698.6,4101215.4,31,center,8.4,202.2,12,8,0,0,1.2,1,1.9,1.1,cone 10 dead,1114,,NA,NA,NA,NA,NA,0,0
41,41,ARVI4,Arctostaphylos viscida,SOAP1343,299606.6,4100963,779,center,12.8,133.8,28,24,NA,130,2.8,2.1,1.6,-0.8,3 stems,1070,NA,Sphere,100,100,,,0,0
42,42,ARVI4,Arctostaphylos viscida,SOAP1611,297437.6,4100577.4,72,center,7.8,296.4,18,10,0,0,1.9,2,1.3,0,cone 80 live,1138,,NA,NA,NA,NA,NA,0,0
43,43,ARVI4,Arctostaphylos viscida,SOAP223,299303.3,4101464.9,1010,SE,0.9,321.3,6,5,NA,130,1.7,1.4,1.2,0,,689,NA,Cylinder,60,100,2 stems,,0,1
44,44,ARVI4,Arctostaphylos viscida,SOAP283,297768.2,4101212.9,62,center,8.4,310.4,30,14,0,0,1.3,2,1.8,0,cone 60 live,825,,NA,NA,NA,NA,NA,0,0
45,45,ARVI4,Arctostaphylos viscida,SOAP139,297048.7,4100102.1,417,center,9.6,349.2,50,60,NA,130,1.8,2.7,2.2,0,,440,NA,Sphere,25,100,11 stems,,0,0
46,46,ARVI4,Arctostaphylos viscida,SOAP1563,297692.6,4101231.9,44,NW,1.3,162.6,6,8,0,0,1,1,0,0,cone 25 dead,1127,,NA,NA,NA,NA,NA,0,0
47,47,ARVI4,Arctostaphylos viscida,SOAP1695,299177.8,4100960.1,83,center,4.5,197.4,9,6,0,0,3.3,2,2.3,0,hemi 10 live,1142,,NA,NA,NA,NA,NA,0,0
48,48,ARVI4,Arctostaphylos viscida,SOAP223,299295.9,4101475.4,1014,center,2.2,47,31,28,NA,130,2.1,1.7,1.5,0,3 stems,693,NA,Cone,40,100,,,0,0
49,49,ARVI4,Arctostaphylos viscida,SOAP143,299834.8,4100412.2,135,center,10.9,234.3,8,3,NA,130,1.3,0.6,1,0,2 stems,462,NA,Hemisphere,100,100,,,0,0
50,50,ARVI4,Arctostaphylos viscida,SOAP1563,297702.9,4101217,32,center,6.2,169.5,47,18,0,0,3.2,3,1.9,0.2,hemi 17 dead,1115,,NA,NA,NA,NA,NA,0,0
51,51,ARVI4,Arctostaphylos viscida,SOAP143,299838.7,4100410.1,1147,center,9.8,210.8,4,2,NA,130,0.6,0.5,0.6,0,3 stems,476,NA,Hemisphere,100,100,,,0,0
52,52,ARVI4,Arctostaphylos viscida,SOAP255,300146.1,4101384,1297,center,6.2,23.2,71,49,NA,130,4.2,1.9,1.6,0,5 stems,764,NA,Hemisphere,0,100,long dead,,0,0
53,53,ARVI4,Arctostaphylos viscida,SOAP143,299835.6,4100412.1,136,center,10.3,231.6,9,6,NA,130,0.4,0.4,0.9,0,3 stems,463,NA,Cylinder,100,100,,,0,0
54,54,ARVI4,Arctostaphylos viscida,SOAP255,300152.6,4101374,1258,SE,6.7,351.1,0,0,11.2,10,3.6,2.4,2.7,0,,725,NA,Cone,0,100,long dead,,0,0
55,55,ARVI4,Arctostaphylos viscida,SOAP1563,297703.6,4101217.9,34,center,5.5,160.8,38,76,0,0,3.9,3,1.5,0,100 dead hemi,1117,snag,NA,NA,NA,NA,NA,0,0
56,56,ARVI4,Arctostaphylos viscida,SOAP255,300145.9,4101377.6,1274,center,2.3,108.4,62,15,NA,130,7.2,6.2,2.5,-1.2,4 stems,741,NA,Hemisphere,0,100,long dead,,0,0
57,57,ARVI4,Arctostaphylos viscida,SOAP139,297045.4,4100093.9,375,center,5.3,283.4,22,7,NA,130,2,1.2,1.6,0,3 stems,398,NA,Sphere,0,100,dead w branches,,0,0
59,59,ARVI4,Arctostaphylos viscida,SOAP63,299806.6,4101018,815,SW,6,35.7,0,0,14.6,10,2,1.6,2.9,0,,125,NA,,0,100,dead no sml branches,,0,0
60,60,ARVI4,Arctostaphylos viscida,SOAP1695,299178.4,4100955.7,108,center,8.7,184.7,17,12,0,0,2.7,3,3.5,0,cone 80 live,1167,,NA,NA,NA,NA,NA,0,0
61,61,ARVI4,Arctostaphylos viscida,SOAP1695,299187.7,4100973.2,123,center,12.3,44.2,9,6,NA,130,1.3,0.9,1.2,0,,1182,NA,Cone,0,100,snag,,0,0
63,63,ARVI4,Arctostaphylos viscida,SOAP1515,297515.7,4101264.5,15,center,10.2,46.2,22,17,NA,130,3.5,2.4,0.5,-1.4,"10 stems (ddh's = 2.3, 7.1, 2.9, 2.8, 6.8, 3.4, 4.6, 8.4, 1.5, 4.6)",1098,NA,Cone,85,100,,,0,0
64,64,ARVI4,Arctostaphylos viscida,SOAP1563,297702.6,4101218.7,33,center,4.5,170.3,34,8,0,0,1.3,1,0.5,0,hemi 100 dead,1116,snag,NA,NA,NA,NA,NA,0,0
65,65,ARVI4,Arctostaphylos viscida,SOAP1563,297694.4,4101214.4,30,center,11.5,220.4,90,42,0,0,1.8,2,3.3,1.9,hemi 100 dead,1113,dead snag,NA,NA,NA,NA,NA,0,0
66,66,ARVI4,Arctostaphylos viscida,SOAP143,299839,4100410.9,1146,center,9,211.6,0,0,2.5,10,0.6,0.5,0.8,0,,475,NA,Hemisphere,100,100,,,0,0
67,67,ARVI4,Arctostaphylos viscida,SOAP1343,299605,4100970.1,775,center,7.8,102.9,58,21,NA,130,4.2,2.2,1.9,0,3 stems,1066,NA,Hemisphere,65,100,,,0,0
68,68,ARVI4,Arctostaphylos viscida,SOAP1695,299170.9,4100970.6,158,center,10.3,307.1,18,28,NA,130,2.2,1.9,2,0,,1217,NA,Sphere,90,100,,,0,0
69,69,ARVI4,Arctostaphylos viscida,SOAP143,299848.7,4100421.4,1189,center,5.8,60.2,8,4,NA,130,1.2,0.6,1.2,0,,518,NA,Cone,95,100,,,0,0
70,70,ARVI4,Arctostaphylos viscida,SOAP1611,297440,4100578,70,center,6.1,311.5,1.1,0.4,0,0,4.1,3,1.3,0,hemi 60 live,1136,old and gnarly,NA,NA,NA,NA,NA,0,0
71,71,ARVI4,Arctostaphylos viscida,SOAP1563,297707.3,4101219.5,37,center,6.6,123.8,13,8,0,0,0.5,0,0.5,0,cone 0 dead,1120,,NA,NA,NA,NA,NA,0,0
72,72,ARVI4,Arctostaphylos viscida,SOAP1515,297514.3,4101259.7,10,center,6.4,69.2,18,16,16.6,1,2.5,2.2,1.1,-0.4,1 stem,1093,NA,Hemisphere,90,100,,,0,0
73,73,ARVI4,Arctostaphylos viscida,SOAP1695,299188.5,4100970.5,121,center,11.2,56.9,59,24,NA,130,2.9,4,2.3,-1.9,,1180,NA,Hemisphere,75,80,,,0,0
74,74,ARVI4,Arctostaphylos viscida,SOAP1563,297696.8,4101231.1,43,NW,5,114,4,8,0,0,1.4,1,0.9,0,cone 90dead,1126,sick,NA,NA,NA,NA,NA,0,0
76,76,ARVI4,Arctostaphylos viscida,SOAP255,300147.6,4101386.6,1296,center,9.1,25.1,21,10,NA,130,3,2,0.8,0,2 stems,763,NA,Hemisphere,0,100,long dead,,0,0
77,77,ARVI4,Arctostaphylos viscida,SOAP143,299833.8,4100413.4,132,center,11.1,242.5,0,0,3.7,10,0.8,0.7,1.5,0,,459,NA,Hemisphere,100,100,,,0,0
79,79,ARVI4,Arctostaphylos viscida,SOAP1695,299174.7,4100970.3,154,center,7.4,323.2,27,29,NA,130,46,3.5,1.1,-1.4,,1213,NA,Sphere,70,100,,,0,0
80,80,ARVI4,Arctostaphylos viscida,SOAP255,300139.8,4101377.5,1244,center,4,257.6,20,18,NA,130,3,2.9,1.5,0,4 stems,711,NA,Hemisphere,0,100,long dead,,0,0
81,81,ARVI4,Arctostaphylos viscida,SOAP1695,299169.7,4100968.4,180,NW,6.3,177.2,14,26,NA,130,2.8,2,0.9,-1.9,,1239,NA,Cone,80,100,,,0,0
82,82,ARVI4,Arctostaphylos viscida,SOAP1515,297514.5,4101248.9,7,center,10.5,144.2,43,23,12.5,3,1.9,1.5,1.7,0,1 stem,1090,NA,Cone,80,100,,,0,0
83,83,ARVI4,Arctostaphylos viscida,SOAP1515,297508.4,4101260.1,20,center,2.7,1.5,21,19,20.5,1,3.1,2.9,0.9,-1.1,,1103,NA,Hemisphere,95,100,1 stem,,0,0
84,84,ARVI4,Arctostaphylos viscida,SOAP143,299851.3,4100422.7,1205,center,8.7,61.4,0,0,3.4,10,0.9,0.8,2.1,0,,534,NA,Cone,90,100,,,0,0
85,85,ARVI4,Arctostaphylos viscida,SOAP1695,299176.6,4100955.5,106,center,9.2,195.6,30,44,0,0,4.3,3,2.7,0,hemi 0 live,1165,snag,NA,NA,NA,NA,NA,0,0
86,86,ARVI4,Arctostaphylos viscida,SOAP139,297046,4100097.3,378,center,6.5,316,0,0,3.2,10,0.9,0.8,2.5,0,,401,NA,Cone,65,100,,,0,0
87,87,ARVI4,Arctostaphylos viscida,SOAP143,299852.1,4100423.1,1206,center,9.6,61.5,14,8,NA,130,1.6,1.3,2,0,3 stems,535,NA,Cone,95,100,,,0,0
88,88,ARVI4,Arctostaphylos viscida,SOAP1695,299178.7,4100970.1,149,center,5.7,355.9,22,27,NA,130,3.3,2,1.8,-0.9,,1208,NA,Sphere,55,100,,,0,0
90,90,ARVI4,Arctostaphylos viscida,SOAP555,297112.8,4100912.9,78,SE,12.7,272.2,110,20,0,0,2.3,1,1,0,hemi 0 live,988,snag,NA,NA,NA,NA,NA,0,1
91,91,ARVI4,Arctostaphylos viscida,SOAP255,300145.3,4101387,1295,center,8.8,10.6,55,32,NA,130,3.8,3.1,3.2,0,3 stems,762,NA,Cone,30,100,,,0,0
92,92,ARVI4,Arctostaphylos viscida,SOAP1695,299173.5,4100967,168,center,6.2,295.5,10,8,NA,130,2.5,1.9,0.9,-1.6,,1227,NA,Sphere,100,65,,,0,0
93,93,ARVI4,Arctostaphylos viscida,SOAP255,300153.1,4101371.1,1256,SE,3.8,352.4,50,27,NA,130,5.3,4.8,1.1,0,6 stems,723,NA,Hemisphere,0,100,long dead,,0,0
94,94,ARVI4,Arctostaphylos viscida,SOAP1695,299171.1,4100966.7,181,center,8.3,286.2,8,5,NA,130,1.9,0.8,2,0,,1240,NA,Cone,70,100,,,0,0
95,95,ARVI4,Arctostaphylos viscida,SOAP1695,299170.1,4100967.6,179,NW,7.1,174.7,5,3,NA,130,0.7,0.6,0.6,0,,1238,NA,Cylinder,85,100,,,0,0
96,96,ARVI4,Arctostaphylos viscida,SOAP1695,299169.7,4100955,102,SW,0.7,87.4,27,36,0,0,2.4,2,2.1,0,hemi 70 live,1161,,NA,NA,NA,NA,NA,0,1
98,98,ARVI4,Arctostaphylos viscida,SOAP1611,297438.9,4100579,71,center,7.6,311.6,18,23,0,0,1.4,2,1.4,0,hemi 0 live,1137,snag,NA,NA,NA,NA,NA,0,0
99,99,ARVI4,Arctostaphylos viscida,SOAP1695,299182.5,4100954.3,118,SE,6.3,272.5,70,32,0,0,2.5,3,2.7,0,sphere 65 live,1177,,NA,NA,NA,NA,NA,0,1
100,100,ARVI4,Arctostaphylos viscida,SOAP139,297047.3,4100096.2,376,center,4.8,318.4,40,39,NA,130,1.1,1.1,1.8,0,7 stems,399,NA,Sphere,100,100,dead w branches,,0,0
101,101,ARVI4,Arctostaphylos viscida,SOAP1695,299187.5,4100972.5,122,center,11.7,46,12,28,NA,130,6.9,4.6,2.4,-1.4,,1181,NA,Sphere,60,85,,,0,0
102,102,ARVI4,Arctostaphylos viscida,SOAP223,299303.8,4101468.8,1012,SE,4.6,359.8,0,0,10.2,10,3.6,2,1.6,0,,691,NA,Cone,70,100,,,0,0
103,103,ARVI4,Arctostaphylos viscida,SOAP139,297036.5,4100089.9,313,SW,6.6,22.9,13,6,NA,130,0.9,0.9,1.9,0,4 stems,336,NA,Cone,90,100,,,0,0
104,104,ARVI4,Arctostaphylos viscida,SOAP1343,299599.5,4100980.5,785,center,8.9,13.8,140,80,NA,130,3.4,2.9,2.7,0,6 stems,1076,NA,Hemisphere,30,100,,,0,0
105,105,ARVI4,Arctostaphylos viscida,SOAP1563,297696.9,4101219.3,29,center,6.3,231.9,28,30,0,0,2.4,3,1.7,0.5,hemisphere 20 dead f108,1112,,NA,NA,NA,NA,NA,0,0
106,106,ARVI4,Arctostaphylos viscida,SOAP223,299301.2,4101476.5,1018,center,7.4,69.3,8,3,NA,130,1.3,1.2,1.3,0,2 stems,697,NA,Cone,40,100,,,0,0
107,107,ARVI4,Arctostaphylos viscida,SOAP1515,297514.5,4101252.3,4,center,8,129.7,11,10,10.5,1,2.5,1.5,1.6,0,,1087,NA,Hemisphere,95,100,,,0,0
108,108,ARVI4,Arctostaphylos viscida,SOAP1515,297514,4101249,6,center,10.1,145.9,20,16,17,1,3.1,2.3,1.6,-0.6,1 stem,1089,NA,Hemisphere,75,100,,,0,0
110,110,ARVI4,Arctostaphylos viscida,SOAP1515,297514.1,4101250.1,5,center,9.3,141.5,117,38,NA,130,5.4,4.3,2.3,-1.1,"5 stems (ddh's = 18.1, 8.7, 8.8, 32.5, 15.4)",1088,NA,Hemisphere,60,100,,,0,0
111,111,ARVI4,Arctostaphylos viscida,SOAP283,297772.4,4101207.4,47,center,2.2,266.3,8,3,0,0,0.4,0,0.6,0,cone 95 live,810,,NA,NA,NA,NA,NA,0,0
112,112,ARVI4,Arctostaphylos viscida,SOAP143,299836.7,4100408.9,1151,center,11.9,216.2,31,6,NA,130,0.6,0.3,0.8,0,5 stems,480,NA,Cylinder,100,100,,,0,0
113,113,ARVI4,Arctostaphylos viscida,SOAP1695,299184.4,4100954.4,117,SE,4.4,274.8,25,27,0,0,3.7,3,2.6,0,f143 hemi 70 live,1176,,NA,NA,NA,NA,NA,0,1
114,114,ARVI4,Arctostaphylos viscida,SOAP1695,299178.3,4100956.9,107,center,7.5,186.6,32,13,0,0,3.5,2,2.5,0,sphere 30 live,1166,,NA,NA,NA,NA,NA,0,0
115,115,ARVI4,Arctostaphylos viscida,SOAP1695,299183.4,4100963.5,120,center,4.4,101.3,10,6,0,0,1.3,2,1.5,0,sphere 90 live,1179,,NA,NA,NA,NA,NA,0,0
116,116,ARVI4,Arctostaphylos viscida,SOAP1343,299598,4100976.7,786,center,4.8,7.1,50,47,NA,130,5.1,4.7,1.6,-1.5,7 stems,1077,NA,Sphere,70,100,,f135,0,0
117,117,ARVI4,Arctostaphylos viscida,SOAP1515,297514.9,4101262.1,12,center,8.1,54.4,23,20,24,1,3.4,2.8,2.3,-0.1,1 stem,1095,NA,Sphere,85,100,many brown lvs,,0,0
119,119,ARVI4,Arctostaphylos viscida,SOAP139,297037.1,4100087,315,SW,4.5,44.2,0,0,22.7,10,0.8,0.6,1.3,0,,338,NA,Cone,100,90,,,0,0
120,120,ARVI4,Arctostaphylos viscida,SOAP1515,297515.3,4101264.2,16,center,9.7,45.8,32,28,NA,130,3.1,1.8,0.2,-1.5,"8 stems (ddh's = 4.5, 4.6, 5.0, 3.3, 4.8, 2.2, 2.4, 3.0)",1099,NA,Cone,80,100,,,0,0
121,121,ARVI4,Arctostaphylos viscida,SOAP1515,297517.1,4101265.4,18,NE,2.6,221.7,32,30,NA,130,3.1,2,0.1,-1.6,"15 stems (dba's = 4.2, 5.1, 4.3, 2.5, 3.5, 1.9, 3.2, 2.5, 4.3, 5.1, 4.5, 3.3, 4.6, 5.0, 4.5)",1101,NA,Hemisphere,40,100,,,0,0
122,122,ARVI4,Arctostaphylos viscida,SOAP143,299837,4100411.4,137,center,9.8,223.1,16,9,NA,130,0.9,0.8,0.9,0,3 stems,464,NA,Hemisphere,100,100,,,0,0
123,123,ARVI4,Arctostaphylos viscida,SOAP1515,297517.6,4101264.6,19,NE,3,205.3,21,24,NA,130,2.1,1.8,0.2,-1.5,"5 stems (dba's = 6.8, 8.3, 1.8, 4.1, 4.5)",1102,NA,Cone,95,100,,,0,0
124,124,ARVI4,Arctostaphylos viscida,SOAP223,299300.6,4101479.9,1020,center,8.8,46.4,0,0,1.1,10,0.3,0.2,0.5,0,,699,NA,Cone,100,100,,,0,0
125,125,ARVI4,Arctostaphylos viscida,SOAP1611,297449.9,4100581.1,69,center,8.9,36.7,36,28,0,0,1.4,2,0.6,0,hemi 0 live,1135,snag,NA,NA,NA,NA,NA,0,0
126,126,ARVI4,Arctostaphylos viscida,SOAP139,297055.3,4100082.9,322,center,10.9,153.7,60,30,NA,130,3.4,3,2.8,0,4 stems,345,NA,Cone,0,100,dead w branches,,0,1
127,127,ARVI4,Arctostaphylos viscida,SOAP1515,297514.4,4101247.7,8,SE,3.7,274.9,12,3,5.9,1,1.3,1,1.8,0,1 stem,1091,NA,Cone,90,100,,,0,1
128,128,ARVI4,Arctostaphylos viscida,SOAP1695,299177.6,4100958.2,105,center,6.4,193.8,15,18,0,0,1,1,1.6,0,0 live hemi,1164,snag,NA,NA,NA,NA,NA,0,0
129,129,ARVI4,Arctostaphylos viscida,SOAP139,297039.8,4100096.6,377,SW,14.1,24.4,20,21,NA,130,0.7,0.8,1.8,0,4 stems,400,NA,Sphere,0,100,dead w branches,,0,0
130,130,ARVI4,Arctostaphylos viscida,SOAP143,299838.3,4100410.6,1144,center,9.6,214.3,0,0,1.4,10,0.7,0.4,0.6,0,,473,NA,Hemisphere,100,100,,,0,0
131,131,ARVI4,Arctostaphylos viscida,SOAP1563,297692.8,4101221.9,27,center,9.1,262.3,18,12,0,0,1.8,2,1.7,0.1,60 dead sphere,1110,mostly brown,NA,NA,NA,NA,NA,0,0
132,132,ARVI4,Arctostaphylos viscida,SOAP1343,299602.6,4100973,772,center,5.3,77.9,14,13,NA,130,3.9,3.4,2,0,1 wonky stem,1063,NA,Cone,60,100,,,0,0
133,133,ARVI4,Arctostaphylos viscida,SOAP143,299838.3,4100411.2,1145,center,9.1,216.6,4,2,NA,130,0.4,0.3,0.9,0,2 stems,474,NA,Cylinder,100,100,,,0,0
134,134,ARVI4,Arctostaphylos viscida,SOAP1343,299596.2,4100965.4,774,center,6.6,190.1,27,62,NA,130,5.8,4.4,1.4,-1.4,7 stems branching at ground level,1065,NA,Hemisphere,65,100,,f134,0,0
135,135,ARVI4,Arctostaphylos viscida,SOAP223,299301.2,4101477.7,1019,center,7.9,61.1,28,18,NA,130,1.4,0.8,1.3,0,3 stems,698,NA,Cone,30,100,,,0,0
136,136,ARVI4,Arctostaphylos viscida,SOAP1695,299169.5,4100973.6,157,NW,1.1,174.9,22,22,NA,130,3.1,2.2,0.4,-1.4,,1216,NA,Sphere,90,70,,,0,0
137,137,ARVI4,Arctostaphylos viscida,SOAP1695,299175.9,4100957,103,center,8,203.4,6,4,0,0,0.1,1,1,0,,1162,snag few branches,NA,NA,NA,NA,NA,0,0
138,138,ARVI4,Arctostaphylos viscida,SOAP1611,297445.9,4100570.7,66,center,3.5,156.5,12,24,0,0,1.5,2,0.9,0,hemi 0 live,1132,snag,NA,NA,NA,NA,NA,0,0
139,139,ARVI4,Arctostaphylos viscida,SOAP1515,297503.6,4101266,22,NW,5.1,105.1,12,10,10.5,1,1.4,1.3,1.4,0,1 stem,1105,NA,Cone,98,100,,,0,0
140,140,ARVI4,Arctostaphylos viscida,SOAP283,297767.8,4101213.3,61,center,8.9,310.8,19,14,0,0,3.1,2,1.8,0,f104 sphere 95 live,824,healthy,NA,NA,NA,NA,NA,0,0
142,142,ARVI4,Arctostaphylos viscida,SOAP1515,297516,4101261.1,11,center,8.5,64,10,9,8.1,1,1.2,1,1.5,0,1 stem,1094,NA,Cone,90,100,,,0,0
