unique_id,site_id,plot_id,bout_id,individual_id,aMeasuredBy,bMeasuredBy,tag_id,taxonid,genus,species,evergreen vs deciduous,common_name,canopy_ht1,canopy_ht2,canopy_ht3,canopy_ht4,canopy_ht5,avg_canopy_ht,num_shots_or_samples,remarks,heightMaxVD1,heightMaxVD2,heightMinVD1,heightMinVD2,point_id,stem_azimuth,stem_distance,height1VD1,height1VD2,stemheight,height2VD1,height2VD2,heightrange1,heightrange2,aop_plot,initials,punch_diameter,punch_scan_count,mass_count,total_sample_mass,mass_per_punch_leaf,total_sample_area,avg_punch_leaf_area,mass_per_area,plant_type,wyo_sample_id,fifteen_n,thirteen_c,total_n,total_c,notes
D314_F155,JERC,JERC003,JERC00,F155,D03_BC15,D03_BC14,,QUVI,Quercus,phellos,deciduous,willow oak,,,,,,,,,8.7,-2.8,6.2,-2.7,49,118.4,11.4,6.9,-2.6,9.5,7.6,-2.7,,,JERC_003,BC15; BC14,1.27,16,16,0.2643,0.0165,20.26829916,1.2668,0.013,,20140170.01,-2.8750366,-28.81406,1.727895,48.4556052,
D314_F156,JERC,JERC003,JERC00,F156,D03_BC15,D03_BC14,,QUPH,Quercus,phellos,deciduous,willow oak,,,,,,,,,6.4,-2.5,1.6,-2.4,49,111.7,9.2,5.9,-2.3,8.2,4.7,-2.4,,,JERC_003,BC15; BC14,,16,16,0.7918,0.0495,60.62859,3.7893,0.0131,,,,,,,
D314_F157,JERC,JERC003,JERC00,F157,D03_BC15,D03_BC14,,QUPH,Quercus,nigra,deciduous,water oak,,,,,,,,,10,-2.3,1.5,-2.3,49,142,8.6,7.7,-2.2,9.9,7,-2.2,,,JERC_003,BC15; BC14,1.905,17,17,0.5252,0.0309,48.45390269,2.8502,0.0108,,,,,,,
D314_F158,JERC,JERC003,JERC00,F158,D03_BC15,D03_BC14,,QUNI,Quercus,phellos,deciduous,willow oak,,,,,,,,,11.8,-2.4,1.8,-2.4,49,156.1,11.1,7.3,-2.3,9.6,6.5,-2.3,,,JERC_003,BC15; BC14,1.905,15,15,0.5485,0.0366,42.75344355,2.8502,0.0128,,20140170.01,-2.9250816,-29.2646875,1.8005642,47.8998669,
D314_F159,JERC,JERC003,JERC00,F159,D03_BC15,D03_BC14,,QUPH,Quercus,virginiana,deciduous,live oak,,,,,,,,,15.1,-2.5,3.7,-2.1,49,171.2,14.3,6.2,-2.4,8.6,5,-2.5,,,JERC_003,BC15; BC14,1.27,16,16,0.297,0.0186,20.26829916,1.2668,0.0147,,20140170.01,-3.6527359,-30.22166,1.6574389,48.5432048,
D314_F160,JERC,JERC003,JERC00,F160,D03_BC15,D03_BC14,,QUVI,Quercus,virginiana,deciduous,live oak,,,,,,,,,4.5,-2.1,-0.2,-2.1,49,151.2,6.2,3.8,-1.8,5.6,3.1,-1.9,,,JERC_003,BC15; BC14,1.27,6,6,0.2706,0.0451,7.600612186,1.2668,0.0356,,,,,,,
D314_F161,JERC,JERC003,JERC00,F161,D03_BC15,D03_BC14,,QUVI,Rhus,copallinum,deciduous,winged sumac,,,,,,,,,3.7,2.2,0,-2.2,49,156.4,8.5,3.3,-2,5.3,2.9,-2,,,JERC_007,BC15; BC14,1.27,16,16,0.1686,0.0105,20.26829916,1.2668,0.0083,,,,,,,
D314_F206,JERC,JERC005,JERC00,F206,D03_BC15,D03_BC14,,QUFA,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,2,0,0.7,0,41,24.9,9.8,,,,,,2,1,OSBS_013,BC15; BC14,,15,15,0.42,0.028,21.7565,1.4504,0.0193,,,,,,,
D314_F201,JERC,JERC005,JERC00,F201,D03_BC15,D03_BC14,,QUIN,Quercus,incana,deciduous,bluejack oak,,,,,,,,,1.7,0,0.8,0,41,89.8,8.3,,,,,,1.7,1.2,JERC_005,BC15; BC14,1.905,17,17,0.4817,0.0283,48.45390269,2.8502,0.0099,,,,,,,
D314_F202,JERC,JERC005,JERC00,F202,D03_BC15,D03_BC14,,QUIN,Quercus,incana,deciduous,bluejack oak,,,,,,,,,2,0,0.6,0,41,55.2,8.6,,,,,,1.9,1,JERC_005,BC15; BC14,1.905,15,15,0.3963,0.0264,42.75344355,2.8502,0.0093,,20140170.01,-1.9452005,-31.2060025,1.5246687,47.8366212,
D314_F203,JERC,JERC005,JERC00,F203,D03_BC15,D03_BC14,,QUIN,Quercus,falcata,deciduous,southern red oak,,,,,,,,,1.3,0,0.6,0,41,6.8,5,,,,,,1.3,0.8,JERC_005,BC15; BC14,1.905,18,18,0.5575,0.031,51.30413226,2.8502,0.0109,,,,,,,
D314_F204,JERC,JERC005,JERC00,F204,D03_BC15,D03_BC14,,QUFA,Quercus,falcata,deciduous,southern red oak,,,,,,,,,1.3,0,0.5,0,41,134,2.5,,,,,,1.3,0.6,JERC_005,BC15; BC14,1.905,18,18,0.5464,0.0304,51.30413226,2.8502,0.0107,,,,,,,
D314_F205,JERC,JERC005,JERC00,F205,D03_BC15,D03_BC14,,QUFA,Quercus,falcata,deciduous,southern red oak,,,,,,,,,1.7,0,0.7,0,41,64.1,7.1,,,,,,1.7,1,JERC_005,BC15; BC14,1.905,18,18,0.613,0.0341,51.30413226,2.8502,0.0119,,20140170.01,-4.032077,-31.2001375,1.6869587,48.2621417,REPLICATED; values here for first run only
D314_F184,JERC,JERC006,JERC00,F184,D03_BC15,D03_BC14,,QUFA,Quercus,falcata,deciduous,southern red oak,,,,,,,,,1,0,0.3,0,41,29.4,3.9,,,,,,1,0.5,JERC_006,BC15; BC14,1.905,8,8,0.5558,0.0695,22.80183656,2.8502,0.0244,,20140170.02,-3.9900392,-30.1346625,1.4566388,46.4352093,
D314_F185,JERC,JERC006,JERC00,F185,D03_BC15,D03_BC14,,QUFA,Quercus,falcata,deciduous,southern red oak,,,,,,,,,1.1,0,0.4,0,41,302.9,11.1,,,,,,1,0.5,JERC_006,BC15; BC14,1.905,16,16,0.5057,0.0316,45.60367312,2.8502,0.0111,,,,,,,
D314_F186,JERC,JERC006,JERC00,F186,D03_BC15,D03_BC14,,QUFA,Quercus,stellata,deciduous,post oak,,,,,,,,,0.8,0,0.3,0,41,255.5,7.5,,,,,,0.8,0.3,JERC_006,BC15; BC14,1.905,16,16,0.4785,0.0299,45.60367312,2.8502,0.0105,,,,,,,
D314_F187,JERC,JERC006,JERC00,F187,D03_BC15,D03_BC14,,QUST,Quercus,stellata,deciduous,post oak,,,,,,,,,0.8,0,0.3,0,41,4.3,3.7,,,,,,0.8,0.4,JERC_006,BC15; BC14,1.905,16,16,0.4194,0.0262,45.60367312,2.8502,0.0092,,20140170.02,-1.0423887,-29.37319,1.9296536,46.6904276,
D314_F188,JERC,JERC006,JERC00,F188,D03_BC15,D03_BC14,,QUST,Quercus,stellata,deciduous,post oak,,,,,,,,,0.6,0,0.4,0,41,135.6,4.2,,,,,,0.6,0.4,JERC_006,BC15; BC14,1.905,18,18,0.545,0.0303,51.30413226,2.8502,0.0106,,,,,,,
D314_F189,JERC,JERC006,JERC00,F189,D03_BC15,D03_BC14,,QUST,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,0.9,0,0.3,0,41,304.6,7.5,,,,,,0.9,0.4,JERC_006,BC15; BC14,,17,17,0.96,0.0565,46.9878,2.764,0.0204,,,,,,,
D314_F190,JERC,JERC006,JERC00,F190,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,could only reach one sunlit branch,5,-1.3,2,-1.3,41,345.1,6.6,3.3,-1.4,4.7,,,,,JERC_006,BC15; BC14,,9,9,0.81,0.09,34.78056,3.8645,0.0233,,,,,,,
D314_F191,JERC,JERC006,JERC00,F191,D03_BC15,D03_BC14,,PIPA2,Sassafras,albidum,deciduous,sassafras,,,,,,,,could only reach one sunlit branch,20,-2.7,7.1,-1.6,41,182.7,10.7,7.7,-1.4,9.1,,,,,JERC_008,BC15; BC14,1.905,19,19,0.3507,0.0185,54.15436183,2.8502,0.0065,,20140170.02,-1.9732257,-31.87168,1.4706792,49.4496024,
D314_F162,JERC,JERC007,JERC00,F162,D03_BC15,D03_BC14,,RHCO,Rhus,copallinum,deciduous,winged sumac,,,,,,,,,2.5,0,1.4,0,41,328.8,7.8,,,,,,2.3,1.6,JERC_007,BC15; BC14,1.27,16,16,0.1704,0.0107,20.26829916,1.2668,0.0084,,20140170.02,-0.2756993,-30.735825,1.7045803,50.045395,
D314_F163,JERC,JERC007,JERC00,F163,D03_BC15,D03_BC14,,RHCO,Rhus,copallinum,deciduous,winged sumac,,,,,,,,,3.4,0,1.5,0,41,249.8,10.1,,,,,,3,2.4,JERC_007,BC15; BC14,1.27,19,19,0.1981,0.0104,24.06860526,1.2668,0.0082,,,,,,,
D314_F164,JERC,JERC007,JERC00,F164,D03_BC15,D03_BC14,,RHCO,Diospyros,virginiana,deciduous,common persimmon,,,,,,,,,2.4,0,1.6,0,41,190.7,8.7,,,,,,2.2,1.7,JERC_007,BC15; BC14,1.905,18,18,0.3572,0.0198,51.30413226,2.8502,0.007,,,,,,,
D314_F165,JERC,JERC007,JERC00,F165,D03_BC15,D03_BC14,,DIVI5,Diospyros,virginiana,deciduous,common persimmon,,,,,,,,,1.7,-1.5,0.2,-1.5,41,26,9.7,,,,,,2.5,1.8,JERC_007,BC15; BC14,1.905,6,6,0.3312,0.0552,17.10137742,2.8502,0.0194,,20140170.02,1.1085454,-28.7172875,2.1843886,46.3518609,
D314_F166,JERC,JERC007,JERC00,F166,D03_BC15,D03_BC14,,DIVI5,Diospyros,virginiana,deciduous,common persimmon,,,,,,,,,2.2,0,1,0,41,123.3,3.5,,,,,,1.7,1.1,JERC_007,BC15; BC14,1.905,6,6,0.3497,0.0583,17.10137742,2.8502,0.0204,,,,,,,
D314_F167,JERC,JERC007,JERC00,F167,D03_BC15,D03_BC14,,DIVI5,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,2.1,0,0.7,0,41,81.7,4.9,,,,,,1.8,1,JERC_007,BC15; BC14,,18,18,1.04,0.0578,45.14361,2.508,0.023,,20140170.02,0.4409451,-28.323355,1.1435884,47.3040375,
D314_F168,JERC,JERC007,JERC00,F168,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,29.1,-1.1,7.8,-1.2,41,46.1,10,8.9,-1.4,10.3,7.9,-1.4,,,JERC_009,BC15; BC14,,17,17,1.02,0.06,42.56215,2.5037,0.024,,20140170.03,-3.7608331,-28.7642075,0.8131535,47.7504823,
D314_F192,JERC,JERC008,JERC00,F192,D03_BC15,D03_BC14,,SAAL5,Sassafras,albidum,deciduous,sassafras,,,,,,,,,2.6,0,1.8,0,33,307.6,6.9,,,,,,2.5,2,JERC_008,BC15; BC14,1.905,16,16,0.2876,0.018,45.60367312,2.8502,0.0063,,,,,,,
D314_F193,JERC,JERC008,JERC00,F193,D03_BC15,D03_BC14,,SAAL5,Sassafras,albidum,deciduous,sassafras,,,,,,,,,1.6,0,1.2,0,33,280.6,5,,,,,,1.5,1.2,JERC_008,BC15; BC14,1.905,18,18,0.3131,0.0174,51.30413226,2.8502,0.0061,,,,,,,
D314_F194,JERC,JERC008,JERC00,F194,D03_BC15,D03_BC14,,SAAL5,Quercus,stellata,deciduous,post oak,,,,,,,,,2,0,1.4,0,41,33.8,2,,,,,,2,1.5,JERC_008,BC15; BC14,1.905,15,15,0.4716,0.0314,42.75344355,2.8502,0.011,,,,,,,
D314_F195,JERC,JERC008,JERC00,F195,D03_BC15,D03_BC14,,QUST,Quercus,margarettae,deciduous,runner oak,,,,,,,,,18.1,-1.5,4.3,-1.5,41,352.3,5.3,5.7,-1.7,7.4,6.7,-1.7,,,JERC_008,BC15; BC14,1.905,19,19,0.5215,0.0274,54.15436183,2.8502,0.0096,,20140170.03,-3.7608331,-30.849215,1.7397101,46.0964536,
D314_F196,JERC,JERC008,JERC00,F196,D03_BC15,D03_BC14,,QUMA,Quercus,margarettae,deciduous,runner oak,,,,,,,,,11.9,-1.5,4,-1.5,41,314.7,9.9,4.2,-1.6,5.8,6.6,-1.6,,,JERC_008,BC15; BC14,1.905,16,16,0.4644,0.029,45.60367312,2.8502,0.0102,,,,,,,
D314_F197,JERC,JERC008,JERC00,F197,D03_BC15,D03_BC14,,QUMA,Quercus,falcata,deciduous,southern red oak,,,,,,,,,15.8,-1.5,4.6,-1.5,41,307.3,10.8,6.3,-1.6,7.9,6.3,-1.6,,,JERC_008,BC15; BC14,1.905,16,16,0.4946,0.0309,45.60367312,2.8502,0.0108,,,,,,,
D314_F198,JERC,JERC008,JERC00,F198,D03_BC15,D03_BC14,,QUFA,Quercus,falcata,deciduous,southern red oak,,,,,,,,,1.6,0,0.8,0,41,67.6,3.2,,,,,,1.6,0.9,JERC_008,BC15; BC14,1.905,17,17,0.5334,0.0314,48.45390269,2.8502,0.011,,20140170.03,-3.5446387,-30.3516675,1.5199549,48.311256,
D314_F199,JERC,JERC008,JERC00,F199,D03_BC15,D03_BC14,,QUFA,Quercus,falcata,deciduous,southern red oak,,,,,,,,,2.3,0,0.9,0,41,30,7.6,,,,,,2.2,1.5,JERC_008,BC15; BC14,1.27,15,15,0.207,0.0138,19.00153047,1.2668,0.0109,,,,,,,
D314_F200,JERC,JERC008,JERC00,F200,D03_BC15,D03_BC14,,QUFA,Quercus,incana,deciduous,bluejack oak,,,,,,,,,1.3,0,0.7,0,41,164.9,10.3,,,,,,1.3,0.7,JERC_005,BC15; BC14,1.27,17,17,0.2127,0.0125,21.53506786,1.2668,0.0099,,,,,,,
D314_F169,JERC,JERC009,JERC00,F169,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,12.4,-1.4,4.3,-1.5,41,47.8,2.5,5.7,-1.5,7.2,4.6,-1.5,,,JERC_009,BC15; BC14,,14,14,0.77,0.055,32.68987,2.335,0.0236,,,,,,,
D314_F170,JERC,JERC009,JERC00,F170,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,only one sample: not enough branchlets,14.7,-1.6,0.8,-1.4,41,142.6,0.8,3.2,-1.5,4.7,,,,,JERC_009,BC15; BC14,,16,16,0.63,0.0394,30.68807,1.918,0.0205,,,,,,,
D314_F171,JERC,JERC009,JERC00,F171,D03_BC15,D03_BC14,,PIPA2,Quercus,falcata,deciduous,southern red oak,,,,,,,,only one sample: not enough branchlets,5.8,-1.5,2.8,-1.5,41,214.9,4.4,4.3,-1.4,5.7,,,,,JERC_009,BC15; BC14,1.905,19,19,0.5736,0.0302,54.15436183,2.8502,0.0106,,20140170.03,-1.9752275,-29.8961525,1.6660407,46.8208472,
D314_F172,JERC,JERC009,JERC00,F172,D03_BC15,D03_BC14,,QUFA,Quercus,falcata,deciduous,southern red oak,,,,,,,,>1 individual copice/cluster of regen,0.8,0,0.5,0,41,161.5,6.8,,,,,,0.8,0.6,JERC_009,BC15; BC14,1.905,6,6,0.6433,0.1072,17.10137742,2.8502,0.0376,,,,,,,
D314_F173,JERC,JERC009,JERC00,F173,D03_BC15,D03_BC14,,QUFA,Quercus,falcata,deciduous,southern red oak,,,,,,,,>1 individual copice/cluster of regen,1.3,0,0.5,0,41,216.1,10.4,,,,,,1.3,0.9,JERC_009,BC15; BC14,1.905,15,15,0.4451,0.0297,42.75344355,2.8502,0.0104,,20140170.03,-2.4636667,-29.5481625,1.4422466,46.8717997,
D314_F174,JERC,JERC009,JERC00,F174,D03_BC15,D03_BC14,,QUFA,Sassafras,albidum,deciduous,sassafras,,,,,,,,>1 individual copice/cluster of regen,1.4,0,0.5,0,41,15.4,7.9,,,,,,1.4,0.6,JERC_002,BC15; BC14,1.905,16,16,0.3038,0.019,45.60367312,2.8502,0.0067,,,,,,,
D314_F207,JERC,JERC010,JERC00,F207,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,only one sample: not enough branchlets,5.4,-1.5,1.5,-1.5,33,356,9.4,4,-1.8,5.8,,,,,JERC_010,BC15; BC14,,12,12,0.89,0.0742,44.57574,3.7146,0.02,,,,,,,
D314_F208,JERC,JERC010,JERC00,F208,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,only one sample: not enough branchlets,9.4,-1.5,3,-1.5,33,351.7,9.5,3.4,-1.6,5,,,,,JERC_010,BC15; BC14,,17,17,0.83,0.0488,38.30412,2.2532,0.0217,,,,,,,
D314_F209,JERC,JERC010,JERC00,F209,D03_BC15,D03_BC14,,QUMA,Quercus,margarettae,deciduous,runner oak,,,,,,,,,7.1,-2.2,0.5,-2.2,41,99.4,2.3,5,-2,7,2.4,-2,,,JERC_010,BC15; BC14,1.905,16,16,0.5205,0.0325,45.60367312,2.8502,0.0114,,,,,,,
D314_F210,JERC,JERC010,JERC00,F210,D03_BC15,D03_BC14,,QUMA,Quercus,margarettae,deciduous,runner oak,,,,,,,,,7.5,-1.8,2.2,-1.7,41,85.6,1.2,4.3,-1.6,5.9,5.2,-1.5,,,JERC_010,BC15; BC14,1.905,15,15,0.495,0.033,42.75344355,2.8502,0.0116,,,,,,,
D314_F211,JERC,JERC010,JERC00,F211,D03_BC15,D03_BC14,,QUMA,Quercus,margarettae,deciduous,runner oak,,,,,,,,,6.2,-1.2,0.2,-1.2,41,299.8,4.9,3.3,-1.2,4.5,4.8,-1.1,,,JERC_010,BC15; BC14,1.905,17,17,0.5546,0.0326,48.45390269,2.8502,0.0114,,20140170.03,-3.6437278,-29.32236,1.5933114,47.1730387,
D314_F212,JERC,JERC010,JERC00,F212,D03_BC15,D03_BC14,,QUMA,Quercus,margarettae,deciduous,runner oak,,,,,,,,,13.6,-1.6,2.2,-1.6,41,232.5,10.3,5.6,-1.4,7,5.6,-1.7,,,JERC_010,BC15; BC14,1.905,17,17,0.5297,0.0312,48.45390269,2.8502,0.0109,,,,,,,
D314_F213,JERC,JERC010,JERC00,F213,D03_BC15,D03_BC14,,QUIN,Quercus,incana,deciduous,bluejack oak,,,,,,,,,5.2,-1.9,1,-1.9,41,139.9,10,4.1,-1.3,5.4,2.7,-1.3,,,JERC_010,BC15; BC14,1.905,16,16,0.4655,0.0291,45.60367312,2.8502,0.0102,,,,,,,
D314_F214,JERC,JERC010,JERC00,F214,D03_BC15,D03_BC14,,QUIN,Quercus,incana,deciduous,bluejack oak,,,,,,,,,3.8,-1.9,1.4,-1.9,41,140.6,10.4,2.8,-1.6,4.4,3.8,-1.6,,,JERC_010,BC15; BC14,1.905,17,17,0.4182,0.0246,48.45390269,2.8502,0.0086,,20140170.03,-2.160394,-30.9538075,1.4660493,47.1657067,
D314_F237,JERC,JERC011,JERC00,F237,D03_BC15,D03_BC14,,QUFA,Quercus,falcata,deciduous,southern red oak,,,,,,,,,2.3,0,0.8,0,41,311.6,6.2,,,,,,1.4,1,JERC_011,BC15; BC14,1.905,16,16,0.5326,0.0333,45.60367312,2.8502,0.0117,,,,,,,
D314_F238,JERC,JERC011,JERC00,F238,D03_BC15,D03_BC14,,QUFA,Quercus,falcata,deciduous,southern red oak,,,,,,,,,1.9,0,0.7,0,41,326,9.3,,,,,,1.5,1,JERC_011,BC15; BC14,1.905,18,18,0.6372,0.0354,51.30413226,2.8502,0.0124,,,,,,,
D314_F239,JERC,JERC011,JERC00,F239,D03_BC15,D03_BC14,,QUFA,Quercus,falcata,deciduous,southern red oak,,,,,,,,,2.3,0,0.9,0,41,60.5,9.7,,,,,,1.6,1.1,JERC_011,BC15; BC14,1.905,15,15,0.4745,0.0316,42.75344355,2.8502,0.0111,,20140170.03,-4.0951337,-30.2187275,1.3859561,47.7199278,
D314_F240,JERC,JERC011,JERC00,F240,D03_BC15,D03_BC14,,QUFA,Quercus,falcata,deciduous,southern red oak,,,,,,,,,1.9,0,0.6,0,41,95.8,2,,,,,,1.6,1.2,JERC_011,BC15; BC14,1.905,16,16,0.4913,0.0307,45.60367312,2.8502,0.0108,,,,,,,
D314_F241,JERC,JERC011,JERC00,F241,D03_BC15,D03_BC14,,DIVI5,Diospyros,virginiana,deciduous,common persimmon,,,,,,,,,2,0,0.8,0,41,90.4,6.9,,,,,,2,1.5,JERC_011,BC15; BC14,1.905,19,19,0.5349,0.0282,54.15436183,2.8502,0.0099,,,,,,,
D314_F242,JERC,JERC011,JERC00,F242,D03_BC15,D03_BC14,,DIVI5,Diospyros,virginiana,deciduous,common persimmon,,,,,,,,,2,0,0.9,0,41,66.5,9.3,,,,,,1.5,1,JERC_011,BC15; BC14,1.905,19,19,0.4472,0.0235,54.15436183,2.8502,0.0083,,,,,,,
