unique_id,site_id,plot_id,bout_id,individual_id,aMeasuredBy,bMeasuredBy,tag_id,taxon_id,genus,species,evergreen vs deciduous,common_name,canopy_ht1,canopy_ht2,canopy_ht3,canopy_ht4,canopy_ht5,avg_canopy_ht,num_shots_or_samples,remarks,heightMaxVD1,heightMaxVD2,heightMinVD1,heightMinVD2,point_id,stem_azimuth,stem_distance,height1VD1,height1VD2,height2VD1,height2VD2,heightrange1,heightrange2,aop_plot,initials,punch_diameter,punch_scan_count,mass_count,total_sample_mass,mass_per_punch_leaf,total_sample_area,avg_punch_leaf_area,mass_per_area,plant_type,wyo_sample_id,fifteen_n,thirteen_c,total_n,total_c,notes
D314_F044,OSBS,OSBS_003,OSBS00,F044,D03_BC15,D03_BC14,,QUGE2,Quercus,geminata,deciduous,sand live oak,,,,,,,,,6.7,-2.2,3.4,-2.2,41,75.7,6.3,4.6,-1.9,4.7,-2,,,OSBS_003,BC15; BC14,1.27,17,17,0.3221,0.0189,21.53506786,1.2668,0.015,,,,,,,
D314_F045,OSBS,OSBS_003,OSBS00,F045,D03_BC15,D03_BC14,,QUNI,Quercus,nigra,deciduous,water oak,,,,,,,,,7.1,-2.3,1.7,-1.3,41,68.1,6.1,3.7,-1.8,2.5,-1.3,,,OSBS_003,BC15; BC14,1.27,16,16,0.2412,0.0151,20.26829916,1.2668,0.0119,,,,,,,
D314_F046,OSBS,OSBS_003,OSBS00,F046,D03_BC15,D03_BC14,,QULA3,Quercus,laurifolia,deciduous,laurel oak,,,,,,,,,1,-1.7,-0.7,-1.4,41,297,5.1,0.4,-1.3,0.8,-1.3,,,OSBS_003,BC15; BC14,,10,10,0.4292,0.0429,44.26697,4.4267,0.0097,,20140170.08,-3.071516,-29.1192245,1.5813551,48.9560782,
D314_F047,OSBS,OSBS_003,OSBS00,F047,D03_BC15,D03_BC14,,QUGE2,Quercus,geminata,deciduous,sand live oak,,,,,,,,,0.6,-1.7,-0.4,-1.7,41,359.3,5,0.7,-1.4,0.5,-1.4,,,OSBS_003,BC15; BC14,1.27,16,16,0.3119,0.0195,20.26829916,1.2668,0.0154,,20140170.08,-1.601222,-29.4410194,1.5155637,49.8434564,
D314_F048,OSBS,OSBS_003,OSBS00,F048,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,20,-2.8,6.3,-2.7,33,270.2,6.3,8.4,-1.7,8.3,-1.7,,,OSBS_003,BC15; BC14,,18,18,1.3923,0.0774,48.93619,2.7187,0.0285,,20140170.08,-2.59142,-27.0661926,0.8489979,50.6853696,
D314_F049,OSBS,OSBS_003,OSBS00,F049,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,17.6,-2.3,7.8,-1.9,41,138.7,5.1,7.1,-1.7,7.8,-1.9,,,OSBS_003,BC15; BC14,,18,18,1.0649,0.0592,38.36906,2.1316,0.0278,,,,,,,
D314_F050,OSBS,OSBS_003,OSBS00,F050,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,could only reach one sunlit branch,18.9,-1.5,9.2,-1.6,41,302.2,4.3,8.9,-2.1,,,,,OSBS_003,BC15; BC14,,18,18,0.9685,0.0538,35.79862,1.9888,0.0271,,,,,,,
D314_F051,OSBS,OSBS_003,OSBS00,F051,D03_BC15,D03_BC14,,QUGE2,Quercus,geminata,deciduous,sand live oak,,,,,,,,,5.3,-1.7,1.3,-1.7,41,82.6,5.7,3.7,-1.5,3.6,-1.4,,,OSBS_003,BC15; BC14,1.27,16,16,0.3017,0.0189,20.26829916,1.2668,0.0149,,,,,,,
D314_F052,OSBS,OSBS_003,OSBS00,F052,D03_BC15,D03_BC14,,QUNI,Quercus,nigra,deciduous,water oak,,,,,,,,,6.5,-1.3,0.9,-1.3,31,52.9,8.2,5,-1.7,2.5,-1.7,,,OSBS_003,BC15; BC14,1.27,18,18,0.2542,0.0141,22.80183656,1.2668,0.0111,,,,,,,
D314_F053,OSBS,OSBS_003,OSBS00,F053,D03_BC15,D03_BC14,,QUNI,Quercus,nigra,deciduous,water oak,,,,,,,,,8.5,-2.5,-0.5,-2.3,31,11.8,4.1,4.8,-1.9,4.4,-1.8,,,OSBS_003,BC15; BC14,1.27,16,16,0.2074,0.013,20.26829916,1.2668,0.0102,,,,,,,
D314_F103,OSBS,OSBS_004,OSBS00,F103,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,15.9,-2,6.9,-1.7,41,39.5,13.1,8.1,-1.7,7.2,-1.7,,,OSBS_004,BC15; BC14,,18,18,0.9535,0.053,36.38383,2.0213,0.0262,,,,,,,
D314_F104,OSBS,OSBS_004,OSBS00,F104,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,12,-1.5,6.3,-1.5,41,39.7,5.8,6.4,-1.4,7.5,-1.4,,,OSBS_004,BC15; BC14,,19,19,0.5423,0.0285,29.05433,1.5292,0.0187,,,,,,,
D314_F105,OSBS,OSBS_004,OSBS00,F105,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,15.3,-0.9,6.3,-0.9,41,280.5,3.3,7.8,-1.4,8.2,-1.5,,,OSBS_004,BC15; BC14,,17,17,1.3924,0.0819,51.67064,3.0394,0.0269,,20140170.1,-2.4623942,-28.7123349,0.8865781,50.1079355,
D314_F106,OSBS,OSBS_004,OSBS00,F106,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,13.5,-1.6,4.7,-1.8,41,142.4,3.7,7.9,-1.5,7,-1.8,,,OSBS_004,BC15; BC14,,20,20,0.7605,0.038,36.68497,1.8342,0.0207,,,,,,,
D314_F107,OSBS,OSBS_004,OSBS00,F107,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,14.3,-1.6,6.1,-1.6,41,146.6,7.8,6.8,-1.6,6.9,-1.6,,,OSBS_004,BC15; BC14,,20,20,0.8192,0.041,41.61795,2.0809,0.0197,,,,,,,
D314_F108,OSBS,OSBS_004,OSBS00,F108,D03_BC15,D03_BC14,,QUGE2,Quercus,geminata,deciduous,sand live oak,,,,,,,,tree badly burnt collected leaves off resprouts on main stem,5.7,-1.5,1.3,-1.5,41,131.7,10.1,4.7,-1.5,3.8,-1.7,,,OSBS_004,BC15; BC14,,16,16,0.8046,0.0503,63.77019,3.9856,0.0126,,,,,,,
D314_F109,OSBS,OSBS_004,OSBS00,F109,D03_BC15,D03_BC14,,QUGE2,Quercus,geminata,deciduous,sand live oak,,,,,,,,tree badly burnt collected leaves off resprouts on main stem,7,-1,4.6,-1.4,41,219.1,12.9,4.6,-1.6,4.2,-1.6,,,OSBS_004,BC15; BC14,,16,16,1.1028,0.0689,49.01822,3.0636,0.0225,,20140170.1,-2.6674352,-31.5468687,1.2167188,49.5617792,
D314_F110,OSBS,OSBS_004,OSBS00,F110,D03_BC15,D03_BC14,,QUGE2,Quercus,geminata,deciduous,sand live oak,,,,,,,,tree badly burnt collected leaves off resprouts on main stem,2.8,-1.8,-0.2,-1.9,41,3.6,6.8,2.6,-1.8,0.7,-1.6,,,OSBS_004,BC15; BC14,,12,12,0.7002,0.0584,51.67895,4.3066,0.0135,,,,,,,
D314_F001,OSBS,OSBS_005,OSBS00,F001,D03_BC15,D03_BC14,,MOCE2,Morella,cerifera,deciduous,wax myrtle,,,,,,,,partially covered by tall pine canopy,,,,,31,3.6,1.4,1.6,-1.5,2.1,-1.4,,,OSBS_005,BC15; BC14,1.27,16,16,0.1715,0.0107,20.26829916,1.2668,0.0085,,20140170.07,0.4299352,-30.684995,1.6091569,48.9606287,
D314_F002,OSBS,OSBS_005,OSBS00,F002,D03_BC15,D03_BC14,,MOCE2,Morella,cerifera,deciduous,wax myrtle,,,,,,,,partially covered by tall pine canopy,,,,,41,120.8,3.9,3.3,-1.4,5.7,-1.3,,,OSBS_005,BC15; BC14,1.27,16,16,0.186,0.0116,20.26829916,1.2668,0.0092,,,,,,,
D314_F003,OSBS,OSBS_005,OSBS00,F003,D03_BC15,D03_BC14,,MOCE2,Morella,cerifera,deciduous,wax myrtle,,,,,,,,partially covered by tall pine canopy,,,,,33,352.5,8.9,3.7,-1.5,2.7,-1.4,,,OSBS_005,BC15; BC14,1.27,16,16,0.1745,0.0109,20.26829916,1.2668,0.0086,,,,,,,
D314_F004,OSBS,OSBS_005,OSBS00,F004,D03_BC15,D03_BC14,,PIEL,Pinus,elliottii,coniferous,slash pine,,,,,,,,sapling couldn't reach mature pines,3.2,0,,,49,174,5.7,1.6,-1.5,1.6,-1.4,,,OSBS_005,BC15; BC14,,18,18,0.3411,0.019,23.77563,1.3209,0.0143,,,,,,,
D314_F005,OSBS,OSBS_005,OSBS00,F005,D03_BC15,D03_BC14,,PIEL,Pinus,elliottii,coniferous,slash pine,,,,,,,,sapling couldn't reach mature pines,3.9,0,,,49,160.9,8.4,2.3,-1.4,2.1,-1.5,,,OSBS_005,BC15; BC14,,22,22,0.2604,0.0118,18.99469,0.8634,0.0137,,20140170.07,1.5309252,-30.790565,1.7552078,48.5194274,
D314_F006,OSBS,OSBS_005,OSBS00,F006,D03_BC15,D03_BC14,,PIEL,Pinus,elliottii,coniferous,slash pine,,,,,,,,sapling couldn't reach mature pines,5.2,0,,,51,237.7,12.8,2.2,-1.5,1.8,-1.5,,,OSBS_005,BC15; BC14,,19,19,0.3212,0.0169,21.7774,1.1462,0.0147,,,,,,,
D314_F007,OSBS,OSBS_005,OSBS00,F007,D03_BC15,D03_BC14,,PIEL,Pinus,elliottii,coniferous,slash pine,,,,,,,,sapling couldn't reach mature pines,8.7,0,,,51,200.5,6.2,3,-1.5,3.3,-1.5,,,OSBS_005,BC15; BC14,,19,19,0.377,0.0198,24.96898,1.3142,0.0151,,,,,,,
D314_F123,OSBS,OSBS_006,OSBS00,F123,D03_BC15,D03_BC14,,QULA2,Quercus,laevis,deciduous,turkey oak,,,,,,,,>1 individual copice/cluster of regen,0.8,0,0.4,0,41,281.6,9.9,,,,,0.8,0.5,OSBS_006,BC15; BC14,1.905,16,16,0.5394,0.0337,45.60367312,2.8502,0.0118,,20140170.1,-2.3783774,-30.4631339,1.4469124,50.4724045,
D314_F124,OSBS,OSBS_006,OSBS00,F124,D03_BC15,D03_BC14,,QULA2,Quercus,laevis,deciduous,turkey oak,,,,,,,,>1 individual copice/cluster of regen,1.1,0,0.4,0,41,54.6,5.4,,,,,1.1,0.6,OSBS_006,BC15; BC14,1.905,17,17,0.5965,0.0351,48.45390269,2.8502,0.0123,,,,,,,
D314_F125,OSBS,OSBS_006,OSBS00,F125,D03_BC15,D03_BC14,,QULA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,>1 individual copice/cluster of regen,0.9,0,0.4,0,41,90,9.1,,,,,0.9,0.5,OSBS_006,BC15; BC14,,18,18,1.286,0.0714,47.95187,2.664,0.0268,,,,,,,
D314_F126,OSBS,OSBS_006,OSBS00,F126,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,16.2,-2.2,8.1,-2.2,41,225.8,2.5,8.5,-1.5,8.2,-1.6,,,OSBS_006,BC15; BC14,,17,17,1.2974,0.0763,43.9408,2.5848,0.0295,,,,,,,
D314_F127,OSBS,OSBS_006,OSBS00,F127,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,16.8,-1.9,7,-1.9,41,213.7,8.2,7.3,-1.5,8.8,-1.5,,,OSBS_006,BC15; BC14,,16,16,1.1059,0.0691,41.09826,2.5686,0.0269,,20140170.1,-3.316565,-29.4214574,0.7119624,50.106878,
D314_F128,OSBS,OSBS_006,OSBS00,F128,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,16.3,-2.1,6,-2.1,41,169.2,6.8,7.5,-1.7,7,-1.6,,,OSBS_006,BC15; BC14,,18,18,1.1427,0.0635,42.85371,2.3808,0.0267,,,,,,,
D314_F129,OSBS,OSBS_006,OSBS00,F129,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,12,-1.9,6.5,-1.9,41,129.8,9.6,7.9,-1.6,6.9,-1.6,,,OSBS_006,BC15; BC14,,18,18,1.2304,0.0684,52.84495,2.9358,0.0233,,,,,,,
D314_F130,OSBS,OSBS_006,OSBS00,F130,D03_BC15,D03_BC14,,PIPA2,Acer,rubrum,deciduous,red maple,,,,,,,,could only reach one sunlit branch,17.2,-1.9,8.2,-1.8,41,14.2,7.5,7.9,-1.6,,,,,OSBS_009,BC15; BC14,1.905,21,21,0.3521,0.0168,59.85482097,2.8502,0.0059,,,,,,,
D314_F079,OSBS,OSBS_007,OSBS00,F079,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,14.8,-0.9,8.5,-1.1,41,214.7,12.1,8.2,-1.6,8.4,-1.6,,,OSBS_007,BC15; BC14,,16,16,1.305,0.0816,53.07836,3.3174,0.0246,,20140170.09,-1.8242666,-29.2493118,0.7412465,49.9755341,
D314_F080,OSBS,OSBS_007,OSBS00,F080,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,only one sample: not enough branchlets,9.9,-1.3,7.7,-1.3,41,85.4,5.6,8.1,-1.5,,,,,OSBS_007,BC15; BC14,,13,13,0.8065,0.062,36.17571,2.7827,0.0223,,,,,,,
D314_F081,OSBS,OSBS_007,OSBS00,F081,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,only one sample: not enough branchlets,11.7,-0.9,8.4,-0.9,41,75.7,7.3,8,-1.4,,,,,OSBS_007,BC15; BC14,,18,18,0.7484,0.0416,32.28041,1.7934,0.0232,,,,,,,
D314_F082,OSBS,OSBS_007,OSBS00,F082,D03_BC15,D03_BC14,,QULA2,Quercus,laevis,deciduous,turkey oak,,,,,,,,,9.2,-1.7,1.5,-1.7,41,315.4,8.4,8.9,-1.9,7.9,-1.4,,,OSBS_007,BC15; BC14,1.905,17,17,0.5931,0.0349,48.45390269,2.8502,0.0122,,,,,,,
D314_F083,OSBS,OSBS_007,OSBS00,F083,D03_BC15,D03_BC14,,QULA2,Quercus,laevis,deciduous,turkey oak,,,,,,,,,9.3,-1.6,0.2,-1.8,41,298.5,11.8,7.5,-1.5,7.7,-1.5,,,OSBS_007,BC15; BC14,1.905,18,18,0.6176,0.0343,51.30413226,2.8502,0.012,,,,,,,
D314_F084,OSBS,OSBS_007,OSBS00,F084,D03_BC15,D03_BC14,,QULA2,Quercus,laevis,deciduous,turkey oak,,,,,,,,,10.6,-1.8,2,-1.9,41,297.3,9.8,8,-1.4,7.7,-1.4,,,OSBS_007,BC15; BC14,1.27,19,19,0.3068,0.0161,24.06860526,1.2668,0.0127,,20140170.09,-1.7622542,-30.4083603,1.3913739,50.462121,
D314_F085,OSBS,OSBS_007,OSBS00,F085,D03_BC15,D03_BC14,,QUGE2,Quercus,geminata,deciduous,sand live oak,,,,,,,,,14.4,-0.3,7.7,-0.3,41,203.8,7.3,7.3,-1.2,6.6,-1.2,,,OSBS_007,BC15; BC14,,11,11,1.018,0.0925,54.28162,4.9347,0.0188,,,,,,,
D314_F086,OSBS,OSBS_007,OSBS00,F086,D03_BC15,D03_BC14,,QUGE2,Quercus,geminata,deciduous,sand live oak,,,,,,,,,11.6,-0.5,6.2,-0.5,41,165,3.5,7.6,-1.3,8.7,-1.1,,,OSBS_007,BC15; BC14,,13,13,1.0463,0.0805,63.83695,4.9105,0.0164,,20140170.09,-1.3041626,-30.7330895,1.3281691,49.3609639,
D314_F087,OSBS,OSBS_007,OSBS00,F087,D03_BC15,D03_BC14,,QUGE2,Quercus,geminata,deciduous,sand live oak,,,,,,,,,12.2,-0.4,6.4,-0.4,41,344.4,4.6,8.4,-1.3,7.7,-1.5,,,OSBS_007,BC15; BC14,,15,15,0.8928,0.0595,44.78158,2.9854,0.0199,,,,,,,
D314_F032,OSBS,OSBS_008,OSBS00,F032,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,7.8,-1.8,3.7,-1.8,41,276.4,3.8,5.3,-1.8,6.1,-1.7,,,OSBS_008,BC15; BC14,,18,18,1.1647,0.0647,46.8364,2.602,0.0249,,20140170.08,-3.3829332,-29.100703,0.6706812,49.369795,
D314_F033,OSBS,OSBS_008,OSBS00,F033,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,13.3,-2.1,4,-2.1,41,306.3,7.7,8.5,-1.6,8.4,-1.5,,,OSBS_008,BC15; BC14,,15,15,0.9369,0.0625,37.8967,2.5264,0.0247,,,,,,,
D314_F034,OSBS,OSBS_008,OSBS00,F034,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,Most needles brown/singed by recent burn,9.3,-1.8,4.3,-1.8,41,40.2,8.2,6.7,-1.6,6.8,-1.6,,,OSBS_008,BC15; BC14,,15,15,0.6622,0.0441,32.5119,2.1675,0.0204,,,,,,,
D314_F035,OSBS,OSBS_008,OSBS00,F035,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,tips of some needles singed by burn,9.3,-1.5,4.4,-1.5,41,80,7.1,6.7,-1.5,6.9,-1.5,,,OSBS_008,BC15; BC14,,18,18,1.3973,0.0776,52.32619,2.907,0.0267,,,,,,,
D314_F036,OSBS,OSBS_008,OSBS00,F036,D03_BC15,D03_BC14,,PIPA2,Pinus,palustris,coniferous,longleaf pine,,,,,,,,,9,-1.4,3.3,-1.4,41,118.1,9.5,6.7,-1.5,5.7,-1.6,,,OSBS_008,BC15; BC14,,18,18,1.051,0.0584,43.02185,2.3901,0.0244,,,,,,,
D314_F131,OSBS,OSBS_009,OSBS00,F131,D03_BC15,D03_BC14,,ACRU,Acer,rubrum,deciduous,red maple,,,,,,,,big tree trunk snapped at ~11m,13,-2.7,1.9,-2.7,41,189.6,2.2,5.3,-1.4,3.8,-1.5,,,OSBS_009,BC15; BC14,1.905,23,23,0.347,0.0151,65.55528011,2.8502,0.0053,,20140170.1,2.5806142,-31.8119338,2.0321382,48.2804116,
D314_F132,OSBS,OSBS_009,OSBS00,F132,D03_BC15,D03_BC14,,ACRU,Acer,rubrum,deciduous,red maple,,,,,,,,could only reach one branch. trunk snapped remaining upper canopy covered with grapes.,5.7,-1.8,1.5,-1.8,41,216.9,8.4,2.1,-1.5,,,,,OSBS_009,BC15; BC14,1.905,20,20,0.1984,0.0099,57.0045914,2.8502,0.0035,,,,,,,
D314_F133,OSBS,OSBS_009,OSBS00,F133,D03_BC15,D03_BC14,,ACRU,Vitis,rotundifolia,deciduous,muscadine,,,,,,,,top snapped harvested regen sprouting from main stem. Forgot to map,2.7,-2.7,0.5,-2.7,,,,,,,,2.7,2.2,OSBS_009,BC15; BC14,1.905,20,20,0.3204,0.016,57.0045914,2.8502,0.0056,,,,,,,
D314_F134,OSBS,OSBS_009,OSBS00,F134,D03_BC15,D03_BC14,,VIRO3,Vitis,rotundifolia,deciduous,muscadine,,,,,,,,growing over Persea palustris,3.2,0,1.6,0,41,300.8,6.6,,,,,3,1.8,OSBS_009,BC15; BC14,1.905,20,20,0.3108,0.0155,57.0045914,2.8502,0.0055,,,,,,,
D314_F135,OSBS,OSBS_009,OSBS00,F135,D03_BC15,D03_BC14,,VIRO3,Vitis,rotundifolia,deciduous,muscadine,,,,,,,,essentially ground cover sprawling over fallen logs,1,0,0.2,0,41,21,4,,,,,0.8,0.6,OSBS_009,BC15; BC14,1.905,18,18,0.2639,0.0147,51.30413226,2.8502,0.0051,,20140170.11,0.6732328,-30.6763597,2.1835958,47.2569891,
D314_F136,OSBS,OSBS_009,OSBS00,F136,D03_BC15,D03_BC14,,VIRO3,Quercus,nigra,deciduous,water oak,,,,,,,,essentially ground cover sprawling over fallen logs,1,0,0.2,0,41,97.4,7.4,,,,,2,1.5,OSBS_001,BC15; BC14,1.27,15,15,0.316,0.0211,19.00153047,1.2668,0.0166,,,,,,,
D314_F054,OSBS,OSBS_010,OSBS00,F054,D03_BC15,D03_BC14,,QULA3,Quercus,laurifolia,deciduous,laurel oak,,,,,,,,,9,-1.1,5.3,-1.1,41,352.5,3.5,6.8,-1.5,6.2,-1.5,,,OSBS_010,BC15; BC14,1.27,16,16,0.2342,0.0146,20.26829916,1.2668,0.0116,,,,,,,
D314_F055,OSBS,OSBS_010,OSBS00,F055,D03_BC15,D03_BC14,,QULA3,Quercus,laurifolia,deciduous,laurel oak,,,,,,,,,10.3,-1.3,2,1.4,31,39.8,4.7,5,-1.7,6.3,-1.6,,,OSBS_010,BC15; BC14,1.27,17,17,0.2484,0.0146,21.53506786,1.2668,0.0115,,,,,,,
D314_F056,OSBS,OSBS_010,OSBS00,F056,D03_BC15,D03_BC14,,QULA3,Quercus,laurifolia,deciduous,laurel oak,,,,,,,,,7.2,-1.6,3.6,-1.6,41,304.1,1.7,6,-1.5,5,-1.5,,,OSBS_010,BC15; BC14,1.27,19,19,0.2507,0.0132,24.06860526,1.2668,0.0104,,,,,,,
D314_F057,OSBS,OSBS_010,OSBS00,F057,D03_BC15,D03_BC14,,QULA3,Quercus,laurifolia,deciduous,laurel oak,,,,,,,,,6,-1.9,3.4,-1.7,41,311.1,4.6,5.5,-1.6,5.6,-1.6,,,OSBS_010,BC15; BC14,1.27,16,16,0.264,0.0165,20.26829916,1.2668,0.013,,20140170.08,-2.4693956,-29.3696181,1.532048,50.0846618,
D314_F058,OSBS,OSBS_010,OSBS00,F058,D03_BC15,D03_BC14,,QULA3,Quercus,laurifolia,deciduous,laurel oak,,,,,,,,,6.4,-1.8,2.8,-1.8,41,13.5,5.8,5.5,-1.6,5.3,-1.6,,,OSBS_010,BC15; BC14,1.27,18,18,0.2382,0.0132,22.80183656,1.2668,0.0104,,,,,,,
D314_F066,OSBS,OSBS_011,OSBS00,F066,D03_BC15,D03_BC14,,SERE2,Serenoa,repens,deciduous,saw palmetto,,,,,,,,,1.5,0,0.7,0,41,308,2.8,,,,,1.4,1,OSBS_011,BC15; BC14,1.905,15,15,0.6261,0.0417,42.75344355,2.8502,0.0146,,,,,,,
D314_F067,OSBS,OSBS_011,OSBS00,F067,D03_BC15,D03_BC14,,SERE2,Serenoa,repens,deciduous,saw palmetto,,,,,,,,,2,0,0.8,0,41,138.4,2.1,,,,,1.9,1.2,OSBS_011,BC15; BC14,1.905,18,18,0.7994,0.0444,51.30413226,2.8502,0.0156,,20140170.08,-0.8640746,-30.8015565,1.2482186,49.0629419,
D314_F068,OSBS,OSBS_011,OSBS00,F068,D03_BC15,D03_BC14,,SERE2,Serenoa,repens,deciduous,saw palmetto,,,,,,,,,1.6,0,0.7,0,41,142.2,10.5,,,,,0.9,1.6,OSBS_011,BC15; BC14,1.905,18,18,0.6737,0.0374,51.30413226,2.8502,0.0131,,,,,,,
